create_time,bid,bn,campaign_id,cd,custom_track,de,dl,dt,ed,ev,group_id,id,job_id,md,publisher_id,rl,sr,ts,tz,ua,uid,utm_campaign,utm_content,utm_medium,utm_source,utm_term,v,vp
4745e650-0c00-11ed-b605-2764483c9ed8,,Chrome 103,,24,alive,UTF-8,http://fe.dev.gotoro.io/candidate-portal/job/1531?jobId=1531&publisherId=1,CandidatePortal,"{""customEvent"":""alive"",""jobId"":""1531"",""publisherId"":""1"",""stayed_alive"":10}",2,,4745e650-0c00-11ed-b605-2764483c9ed8,1531,true,1,,1366x768,2022-07-25 09:58:05.719,-420,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",1-yh82s4al-l60jlqwa,,,,,,1,1366x625
97677820-0bff-11ed-a88b-2b305c593322,0,Chrome 103,222,24,click,UTF-8,http://fe.dev.gotoro.io/candidate-portal/job/94d21a2757ece4af499b705f1b02c08d7caa80b0?param1=1533&param2=1,CandidatePortal,"{""customEvent"":""click"",""jobId"":""1533"",""publisherId"":""1""}",2,,97677820-0bff-11ed-a88b-2b305c593322,1533,true,1,,1366x768,2022-07-25 09:53:10.750,-420,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",1-yh82s4al-l60jlqwa,,,,,,1,1366x625
62bd1bc0-0bff-11ed-9ecb-9cf629789886,0,Chrome 103,222,24,,UTF-8,http://fe.dev.gotoro.io/candidate-portal/job/4ea324b2fc44779ed415e2aa4e436b4a301e321c?param1=1532&param2=1,CandidatePortal,,1,,62bd1bc0-0bff-11ed-9ecb-9cf629789886,1532,true,1,,1366x768,2022-07-25 09:51:42.410,-420,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",1-yh82s4al-l60jlqwa,,,,,,1,1366x625
b9b23cf0-0a54-11ed-87a2-43e8e34b4e6e,,Chrome 102,,24,click,UTF-8,http://localhost:4200/candidate-portal/job,CandidatePortal,"{""customEvent"":""click"",""jobId"":270,""publisherId"":0,""userId"":97}",2,,b9b23cf0-0a54-11ed-87a2-43e8e34b4e6e,270,true,0,http://localhost:4200/candidate-portal/job?what=job%20frontend&where=,1920x1080,2022-07-23 06:57:32.329,-420,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36",1-ok78d38x-l5j7ka8p,,,,,,1,1323x976
2ee61c60-0b38-11ed-9d65-4023ccdbf509,1,Chrome 103,48,24,,UTF-8,http://fe.dev.gotoro.io/candidate-portal/job/3235a2389bed6cdd59ad37ff23c1b6b4fb2d1668?param1=188&param2=1,CandidatePortal,,1,34,2ee61c60-0b38-11ed-9d65-4023ccdbf509,188,true,1,,1366x768,2022-07-24 10:05:45.436,-420,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",1-84pzfc44-l5z5mcft,,,,,,1,1366x625
dc5fdc10-0173-11ed-a19e-f016a253b774,,Chrome 103,,24,click,UTF-8,http://150.136.2.86/candidate-portal/job,CandidatePortal,"{""customEvent"":""click"",""jobId"":81,""publisherId"":0,""userId"":116}",2,,dc5fdc10-0173-11ed-a19e-f016a253b774,81,true,0,,1536x864,2022-07-11 23:47:44.040,-420,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",1-0d5ciljy-l4pdlaxd,,,,,,1,1071x714
29a01600-0c8e-11ed-bc83-7e701c5f77e7,,Chrome 103,,24,alive,UTF-8,http://fe.dev.gotoro.io/candidate-portal/job/273?jobId=273&publisherId=1,CandidatePortal,"{""customEvent"":""alive"",""jobId"":""273"",""publisherId"":""1"",""stayed_alive"":10}",2,,29a01600-0c8e-11ed-bc83-7e701c5f77e7,273,true,1,,1366x768,2022-07-26 02:53:45.141,-420,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",1-t8bqaiy4-l61kszmf,,,,,,1,1366x625
87112010-0caf-11ed-b840-2a729a19a127,,Chrome 103,,24,alive,UTF-8,http://fe.dev.gotoro.io/candidate-portal/job/336?jobId=336&publisherId=1,CandidatePortal,"{""customEvent"":""alive"",""jobId"":""336"",""publisherId"":""1"",""stayed_alive"":10}",2,,87112010-0caf-11ed-b840-2a729a19a127,336,true,1,,1366x768,2022-07-26 06:52:36.004,-420,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",1-kntupfok-l61tduvk,,,,,,1,1366x625
7ad34b90-0d61-11ed-873b-339ca03ba379,2,Chrome 103,4,24,,UTF-8,http://fe.dev.gotoro.io/candidate-portal/job/a9df1f103a849b2071e827e951a7c69cc917699a?param1=98&param2=1,CandidatePortal,,1,,7ad34b90-0d61-11ed-873b-339ca03ba379,98,true,1,,1366x768,2022-07-27 04:06:25.483,-420,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",1-347wwfkr-l632u1zk,,,,,,1,1366x625
e286f0f0-089f-11ed-9ecf-9167fb53e80f,,Chrome 103,,24,click,UTF-8,http://150.230.186.232/candidate-portal/job/567,CandidatePortal,"{""customEvent"":""click"",""jobId"":567,""publisherId"":0,""userId"":425}",2,,e286f0f0-089f-11ed-9ecf-9167fb53e80f,567,true,0,,1920x1080,2022-07-21 02:50:30.854,-420,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",1-4lva4hrh-l5te7l3b,,,,,,1,1920x884
9c958c50-0caf-11ed-9221-c52d33e37f9b,2,Chrome 103,4,24,click,UTF-8,http://fe.dev.gotoro.io/candidate-portal/job/a9df1f103a849b2071e827e951a7c69cc917699a?param1=98&param2=1,CandidatePortal,"{""customEvent"":""click"",""jobId"":""98"",""publisherId"":""1""}",2,,9c958c50-0caf-11ed-9221-c52d33e37f9b,98,true,1,,1366x768,2022-07-26 06:53:12.098,-420,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",1-kntupfok-l61tduvk,,,,,,1,1366x625
2b059670-0caf-11ed-b24e-afe8f1e025f1,7,Chrome 103,1,24,click,UTF-8,http://fe.dev.gotoro.io/candidate-portal/job/fb02a29e989f78b931028b80610ad2c9d40a19ac?param1=440&param2=1,CandidatePortal,"{""customEvent"":""click"",""jobId"":""440"",""publisherId"":""1""}",2,,2b059670-0caf-11ed-b24e-afe8f1e025f1,440,true,1,,1366x768,2022-07-26 06:50:01.570,-420,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",1-kntupfok-l61tduvk,,,,,,1,1366x625
c9381d70-0284-11ed-9564-cecbf325f583,,Chrome 103,,24,click,UTF-8,http://150.136.2.86/candidate-portal/,CandidatePortal,"{""customEvent"":""click"",""jobId"":2,""publisherId"":0,""userId"":78}",2,,c9381d70-0284-11ed-9564-cecbf325f583,2,true,0,,1366x768,2022-07-13 08:21:25.755,-420,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",1-m8tpkuds-l4oxward,,,,,,1,1366x625
8456fcf0-034a-11ed-a9d0-005f7076495f,,Chrome 102,,24,click,UTF-8,http://150.136.2.86/candidate-portal/,CandidatePortal,"{""customEvent"":""click"",""jobId"":7,""publisherId"":0,""userId"":307}",2,,8456fcf0-034a-11ed-a9d0-005f7076495f,7,true,0,,1920x1080,2022-07-14 07:56:49.631,-420,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36",1-za4sv1dj-l5c4alzi,,,,,,1,1920x549
